"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"GOLGB1",0,0,1,1,0,0,0,0,8.50184777895365,0.0748617690632861,1,0,0,0,0,0,0,0,0
"GOLIM4",0,0,1,1,0,0,0,0,7.76347521803826,0.395561770958612,0.214345889511141,0.0535199116244862,0.0501117587395512,0.00340815288493503,0,0,2,2,0
"GOLM1",0,0,1,1,0,0,0,0,-5.1102428697792,0.56374444225454,1,0,0,0,0,0,0,0,0
"GOLPH3",0,0,1,1,0,0,0,0,7.06392875765996,0.172803879577205,0.44513322927064,0.0947723736266742,0.089126880315836,0.00564549331083825,5,0,31,36,5
"GOLPH3L",0,0,1,1,0,0,0,0,2.67750670756267,0.948465117387313,0.18098723447063,0.19645492050292,0.181357721953514,0.0150971985494058,0,0,4,4,0
"GOLT1A",0,0,1,1,0,0,0,0,0,0.983568445634817,0.0047078643972205,0.336453331824479,0.226514880035349,0.109938451789131,2,0,22,24,2
"GOLT1B",0,0,1,1,0,0,0,0,4.704254295916,0.302594449420486,0.97656431326408,0.176700250736336,0.176786147264979,-8.58965286432423e-05,0,0,0,0,0
"GON4L",0,0,1,1,0,0,0,0,8.58071114168351,0.0283957519571584,0.621139590752863,0.220141151784589,0.217410558253397,0.00273059353119207,0,0,7,7,0
"GOPC",0,0,1,1,0,0,0,0,6.66793668193043,0.171129058656806,0.731402873154097,0.133716888506892,0.130958809940574,0.00275807856631738,0,1,6,7,1
"GORAB",0,0,1,1,0,0,0,0,6.05517845165061,0.0413117680115951,0.0158726795499118,0.233545581350419,0.219378693143644,0.0141668882067749,0,0,6,6,0
"GORASP1",0,0,1,1,0,0,0,0,3.90232486526193,0.810865806895023,0.169114973519858,0.066938372742174,0.0620581546328777,0.00488021810929627,1,0,23,24,1
"GORASP2",0,0,1,1,0,0,0,0,7.47647640591858,0.663755887997157,0.47902741631431,0.459046666292119,0.449450891841431,0.00959577445068827,0,0,5,5,0
