"Row.names","p.value_activities","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MXRA8",1,0,0,0.0935268813239032,0.409728374179049,0.192228396757333,0.849358608584456,0.978420770254378,-4.6720564487656
"MYADM",1,0,0,0.403724770815622,-6.7438914191356,0.618892195643789,0.542458412915113,0.977208286870888,-4.64582739319516
"MYADML",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MYADML2",1,0,0,0.193233704904385,6.15903834225313,0.595588528094821,0.557638166577722,0.977208286870888,-4.64794360615301
"MYB",0.696177285809601,0.0799430861859003,-0.139652357637427,-0.415633848940802,-4.84780002882967,-0.476841921197476,0.63826227418348,0.977208286870888,-4.65752867283059
"MYBBP1A",1,0,0,-0.327712131546517,8.08020226595244,-0.648646141441894,0.523402358360408,0.977208286870888,-4.64301522544477
"MYBL1",1,0,0,0.239194485458557,5.49329423326362,0.923082425426467,0.366158787510955,0.977208286870888,-4.61147624498878
"MYBL2",1,0,0,-0.274806281758215,3.58101343061512,-0.319876476072197,0.752134689455717,0.977208286870888,-4.66704276402991
"MYBPC1",1,0,0,-1.00116709884652,4.56865015858627,-1.44941586243559,0.161582367027741,0.977208286870888,-4.52620248907785
"MYBPC2",1,0,0,-0.413636257253119,-4.21469492344959,-0.591347238319214,0.560424541660507,0.977208286870888,-4.64832055346127
"MYBPC3",1,0,0,-1.90468990803723,-2.88818789298016,-1.96021490980669,0.0629928724491007,0.977208286870888,-4.42035324655668
"MYBPH",1,0,0,-1.57949147974661,-4.47349620698715,-1.32262588811451,0.199789928430835,0.977208286870888,-4.54934518671823
"MYBPHL",1,0,0,-0.0646712678555358,0.158089227547296,-0.121955078186338,0.904061811622886,0.986220046200516,-4.67375618564118
"MYC",0.10663731578443,-0.79443468525096,1.09037983442763,-3.17392865988267,-0.0726671990425686,-2.08886655403078,0.0487232760564892,0.977208286870888,-4.39127910615622
"MYCBP",1,0,0,0.396841018755172,9.35118690871173,1.95871815683677,0.0631787122252796,0.977208286870888,-4.42068697136451
"MYCBP2",1,0,0,-0.179434110334793,6.30660171189781,-0.386176870478936,0.703142388737771,0.977208286870888,-4.66346956552031
"MYCBPAP",1,0,0,0.314500032421869,-1.77010936901452,0.692326809694461,0.496106353525386,0.977208286870888,-4.6386652700529
"MYCL1",1,0,0,-0.531008425419494,0.219263489463101,-0.64858588574476,0.5234405748405,0.977208286870888,-4.64302104463476
"MYCN",0.253264815032727,-0.342524711843523,0.537732741998711,-0.213928838737176,4.46677897645791,-0.273092673965837,0.787375353832116,0.977208286870888,-4.66916704786704
"MYCNOS",1,0,0,-0.6501316390803,-1.63484817332072,-0.514518751642029,0.612112707383478,0.977208286870888,-4.65470662498907
"MYCT1",1,0,0,-0.082574409909177,-7.12842119669771,-0.197951060789421,0.844934001434535,0.977868958303974,-4.67188472973708
"MYD88",1,0,0,-0.224892910068061,6.75686258533691,-0.45566120961308,0.653180149889452,0.977208286870888,-4.65902456958681
"MYEF2",1,0,0,-0.0710131937437302,2.84827880361576,-0.123960539307854,0.902492543854184,0.985883104837675,-4.67371818335761
"MYEOV",1,0,0,-0.227161345535241,2.51303479178936,-0.636253860114269,0.531294170359944,0.977208286870888,-4.64420142347512
"MYEOV2",1,0,0,0.502315324328898,-5.18544539798336,0.656630398286695,0.518352023780334,0.977208286870888,-4.6422397075493
"MYF5",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MYF6",1,0,0,-0.467253780401065,-6.81493122108352,-0.572005294469657,0.573222372046793,0.977208286870888,-4.65000738684645
"MYH1",1,0,0,1.81128063621793,-4.42223522795033,1.98161526090966,0.0603881791707425,0.977208286870888,-4.41556969700304
"MYH10",1,0,0,-0.949889092321505,-6.65871939205576,-1.24173281295911,0.227646768963578,0.977208286870888,-4.56331106227601
"MYH11",1,0,0,-1.13667638534763,4.16912207284409,-1.78828467556042,0.0877640292811213,0.977208286870888,-4.45790284223918
"MYH13",1,0,0,0.413129525298516,5.23343496379474,1.6064116999321,0.122701117488865,0.977208286870888,-4.49562582371737
"MYH14",1,0,0,-0.413492538985157,-5.89523770315675,-0.502294765550104,0.620541210965315,0.977208286870888,-4.65564473381928
"MYH15",1,0,0,-0.533669613334998,-6.25281498972888,-0.702771692265554,0.489701680791654,0.977208286870888,-4.63758645149995
"MYH16",1,0,0,-0.668239632042635,-2.59912717378981,-0.791272541459951,0.437385886870475,0.977208286870888,-4.62785715711487
"MYH2",1,0,0,0.388044592139886,-6.65923995220805,0.54314168056523,0.592592274828774,0.977208286870888,-4.65242589643635
"MYH3",1,0,0,0.26420920299783,4.76075278412473,0.844489261271263,0.407650255335496,0.977208286870888,-4.62151028736807
"MYH4",1,0,0,0.00703798890195984,-7.10177437759867,0.011936041656343,0.990586174694588,0.999255269795809,-4.67489201293189
"MYH6",1,0,0,0.349581967700273,-5.91854447111446,0.432005260493639,0.670018378027542,0.977208286870888,-4.66061770598047
"MYH7",1,0,0,-0.13581680579889,2.52276704548934,-0.405467741683023,0.689120876549669,0.977208286870888,-4.66230694944227
"MYH7B",1,0,0,-0.427049076646526,-6.19106223821315,-0.567374243117855,0.576308458221466,0.977208286870888,-4.65040340814926
"MYH8",1,0,0,-0.303764183460412,-6.69814314699829,-0.469280340013581,0.64357045934514,0.977208286870888,-4.65807022245977
"MYH9",1,0,0,0.20879324076312,11.896674884192,0.89903515203519,0.378544847193574,0.977208286870888,-4.61462864955604
"MYL1",1,0,0,-0.23536064102612,7.27471084618683,-1.30049396248461,0.207133349334519,0.977208286870888,-4.55323040416928
"MYL10",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MYL12A",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964
"MYL12B",1,0,0,-0.13308072872012,7.72544073918775,-0.547824404472536,0.589428008172437,0.977208286870888,-4.65204159479861
"MYL2",1,0,0,-1.03922367972579,-6.3937828122948,-1.41838074581938,0.170343618851429,0.977208286870888,-4.53200226044794
"MYL3",1,0,0,0.508649136344425,-6.99782486866001,1.06458730809626,0.298816408209713,0.977208286870888,-4.59150956448183
"MYL4",1,0,0,-1.10761090381429,1.92094728050426,-0.764099037033338,0.453072807671466,0.977208286870888,-4.63095538525959
"MYL5",1,0,0,-0.292644463682471,1.17359808484116,-0.790203608638798,0.437996582199407,0.977208286870888,-4.62798086870515
"MYL6",1,0,0,-0.253380390568747,2.8857164241105,-0.747490316026822,0.4628262008635,0.977208286870888,-4.63280093899685
"MYL6B",1,0,0,-0.0851775668375883,8.16093673910011,-0.399552759332738,0.69340831116639,0.977208286870888,-4.66266929273934
"MYL7",1,0,0,0.0760213124220828,-7.4653140730805,0.336487676638139,0.73974946564968,0.977208286870888,-4.66620924752552
"MYL9",1,0,0,-0.405038350198443,-0.0869042622554799,-0.288707479180897,0.775557064102813,0.977208286870888,-4.66849476023023
"MYLIP",1,0,0,0.10670864371611,5.84613741315322,0.412142600353736,0.684295464275778,0.977208286870888,-4.66189184310337
"MYLK",1,0,0,0.852561960466417,1.08948730887533,1.95172446159451,0.0640535032615995,0.977208286870888,-4.42224485134524
"MYLK2",1,0,0,-0.550189723609445,2.95955417985926,-0.814437275851191,0.424280890803944,0.977208286870888,-4.6251395462555
"MYLK3",1,0,0,0.119758163657509,-1.40151764798667,0.0932169713593829,0.926590207944304,0.990194729978852,-4.67423281149594
"MYLK4",1,0,0,0.574052700810105,-3.85698609189212,0.675723851280636,0.506384874711457,0.977208286870888,-4.64034952523061
"MYLPF",1,0,0,1.12203045465365,-2.50800700658414,1.56679509250296,0.131692893615869,0.977208286870888,-4.50352799744934
"MYNN",1,0,0,-0.0339025801319002,4.5290984017901,-0.233192817944515,0.817806793221776,0.977208286870888,-4.67071708233273
"MYO10",1,0,0,0.0857151429836911,-0.605496672143606,0.0913772082232965,0.928034793897128,0.99055892376396,-4.67425899542978
"MYO15A",1,0,0,-0.171775107454792,1.27867957740718,-0.42198333937666,0.677206513501489,0.977208286870888,-4.66126785302903
"MYO15B",1,0,0,0.413571424616279,8.08750488230559,1.16270583435481,0.257631013733575,0.977208286870888,-4.57630987012454
"MYO16",1,0,0,0.491918547002446,-3.32791227162988,0.354055095984394,0.726729518657907,0.977208286870888,-4.66528275885704
"MYO18A",1,0,0,0.148025691045802,8.15890462906092,0.491831887316,0.627798102575796,0.977208286870888,-4.65643053457438
"MYO18B",1,0,0,-0.800239923920291,-1.05414403576586,-0.482720353563336,0.634149303201513,0.977208286870888,-4.65710191926771
"MYO19",1,0,0,0.0614080063992075,4.68531211240956,0.316748963373952,0.754474329107654,0.977208286870888,-4.66719506068605
"MYO1A",1,0,0,0.243966377620756,-1.27164374192126,0.246051261076166,0.807965006074003,0.977208286870888,-4.67024395252978
"MYO1B",1,0,0,-1.48470066671383,0.228247012516819,-1.19408973005597,0.245388675631742,0.977208286870888,-4.57122623960158
"MYO1C",1,0,0,-0.881983511083977,4.43271922144096,-1.87246999968195,0.0747386376874077,0.977208286870888,-4.43972224678275
"MYO1D",1,0,0,-0.792820503002096,3.34652115081702,-1.30300886348193,0.206288478370502,0.977208286870888,-4.552791318169
"MYO1E",1,0,0,0.130186176871118,2.79576511811248,0.179478390398697,0.859234642364687,0.979865991977671,-4.67242103165048
"MYO1F",1,0,0,0.161927237041848,9.50231875340583,0.573227850100919,0.572409075316927,0.977208286870888,-4.64990233335647
"MYO1G",1,0,0,0.62171080779702,8.28331369356302,1.88101033845848,0.0735166296072617,0.977208286870888,-4.43785509906983
"MYO1H",1,0,0,0.293827197555447,-2.13533591914407,0.622859126362915,0.53989651684167,0.977208286870888,-4.64545958211303
"MYO3A",1,0,0,-2.77744019382307,-5.28387377382774,-2.35897046373639,0.0278007212114792,0.977208286870888,-4.32822060548484
"MYO3B",1,0,0,0.127301611836205,-2.16392988111064,0.0978424236262009,0.922959448716656,0.98967263578764,-4.67416467891941
"MYO5A",1,0,0,0.051732523563774,7.61612072247376,0.233570580241112,0.817517208267205,0.977208286870888,-4.67070354098969
"MYO5B",1,0,0,-0.452797390105438,0.82902450803172,-0.537061501331864,0.596713251442348,0.977208286870888,-4.65292020592038
"MYO5C",1,0,0,-0.565111642690322,4.02632354196952,-0.986902285885519,0.334614591849633,0.977208286870888,-4.60276632249819
