"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y","logFC_Rel_vs_R","P.Value_Rel_vs_R"
"SUMO1",1,0,0,-0.59634675252939,-7.104188605911,-1.17356057946421,0.253346375667529,0.977208286870888,-4.5745634826515,1,0,0,1.83179002958699,0.0339018056849299
"SUMO1P1",1,0,0,0.0562586566858529,5.53226235364196,0.21958633529745,0.828254682779906,0.977208286870888,-4.67119033858325,1,0,0,0.29147284767157,0.421058572698791
"SUMO1P3",1,0,0,-0.429032787364108,4.71825449608052,-1.33696335980644,0.195142395071243,0.977208286870888,-4.54680304810556,1,0,0,-0.283651547080576,0.487468534888566
"SUMO2",1,0,0,-0.153366867844837,-0.286021354117711,-0.365227453157385,0.718492674690544,0.977208286870888,-4.66466954438498,1,0,0,0.614361376338598,0.123222837829605
"SUMO3",1,0,0,-0.253411392068476,7.17180619943131,-1.43516315236575,0.165559691618154,0.977208286870888,-4.52887653805431,1,0,0,-0.0543245316067935,0.781479690673684
"SUMO4",1,0,0,-0.306636772073486,4.94750687628741,-1.23811126880684,0.228960126487885,0.977208286870888,-4.56392096332805,1,0,0,-0.102599028821704,0.712626342190448
"SUN1",1,0,0,0.572531166896973,0.0574342330214196,1.18447704083811,0.24909118137971,0.977208286870888,-4.57279446103022,1,0,0,0.434449393054614,0.416561125719297
"SUN2",1,0,0,0.0863387603747299,3.99288369926314,0.239217415078582,0.813191659441545,0.977208286870888,-4.67049853573178,1,0,0,-0.377668127283324,0.429864716288193
"SUN3",1,0,0,0.550097252004107,8.10598969710821,2.53654931194977,0.0189521482789408,0.977208286870888,-4.28576227082154,1,0,0,0.245707380484898,0.447111223418197
"SUN5",1,0,0,0.489967989320662,-6.27398943306846,0.865380116919176,0.396337808677601,0.977208286870888,-4.61891914908155,1,0,0,0.809740136489659,0.306855460932796
"SUOX",1,0,0,0.00770416126012652,-7.40707187480117,0.0278588374692737,0.978030467541488,0.997465543795835,-4.67484312500943,1,0,0,0.538191214513988,0.127725988332439
"SUPT16H",1,0,0,0.00521776188102052,4.02503562534062,0.014391420780202,0.988649772020266,0.999255269795809,-4.67488702531346,1,0,0,0.182297002664426,0.624884752314404
"SUPT3H",1,0,0,-0.0528168841994408,7.05136407134038,-0.276585864231735,0.784726812170361,0.977208286870888,-4.6690198522548,1,0,0,0.0946244813789168,0.6906998536966
"SUPT4H1",1,0,0,0.22127493236711,3.26390707943099,0.510670999558032,0.614759906216622,0.977208286870888,-4.65500423953702,1,0,0,-0.0605345916636275,0.888279047303116
"SUPT5H",1,0,0,-0.160249842371535,5.35472872921587,-1.28251136770269,0.213253026542235,0.977208286870888,-4.55635194266013,1,0,0,-0.0406951108910363,0.7778441413855
"SUPT6H",1,0,0,0.0607031669206135,7.43346178201047,0.407022427485001,0.687995737808648,0.977208286870888,-4.66221085258333,1,0,0,0.0889577353462769,0.524633562931931
"SUPT7L",1,0,0,0.232004533230544,8.09512903416854,1.76058474391227,0.0924588629882334,0.977208286870888,-4.46379120974854,1,0,0,0.114292493328182,0.416345062048411
"SUPV3L1",1,0,0,0.102806986150721,5.3618178118903,0.5824523184038,0.566291546398514,0.977208286870888,-4.64910285708577,1,0,0,0.120871471663737,0.544397909271028
"SURF1",1,0,0,0.0973585971920095,4.60757098180048,0.49899137313441,0.622828171978696,0.977208286870888,-4.65589454233071,1,0,0,-0.0204977206594208,0.91912174558121
"SURF2",1,0,0,0.086398399158754,5.64052369311883,0.378115695288761,0.709034169332771,0.977208286870888,-4.66393903637586,1,0,0,0.248782149360071,0.400238672496255
"SURF4",1,0,0,0.0376353226360906,2.45773971308644,0.170438670370768,0.866251139874429,0.980547838430242,-4.67266444949133,1,0,0,0.137995475951728,0.551747802531165
"SURF6",1,0,0,-0.0379954206542052,6.07032797604944,-0.184726388051237,0.855166638682897,0.979374068897758,-4.6722739775199,1,0,0,0.531145943749844,0.0678221396836768
"SUSD1",1,0,0,-0.0745083776746496,3.87533879492306,-0.319046351335755,0.752755455183195,0.977208286870888,-4.6670833309447,1,0,0,0.257437480039018,0.43966274945908
"SUSD2",1,0,0,0.0561537483436974,5.9408991792102,0.217704535615802,0.829702256027421,0.977208286870888,-4.67125357068339,1,0,0,0.268355312770192,0.327331401705502
"SUSD3",1,0,0,0.102872454965657,-0.150139160000163,0.23907685191277,0.813299259262607,0.977208286870888,-4.67050369765856,1,0,0,0.770607226434955,0.0575064665851426
"SUSD4",1,0,0,-1.63397825851276,1.49677868445776,-1.47717144657864,0.154058790281149,0.977208286870888,-4.5209445648311,1,0,0,0.50261691533688,0.677963379503031
"SUSD5",1,0,0,0.0116865273231777,-2.44468384164131,0.00864922900346885,0.993178367346052,0.999255269795809,-4.67489723328229,1,0,0,-1.01949599821675,0.482731066262045
"SUV39H1",1,0,0,0.842390432747384,-1.08263393644274,1.521308117042,0.14268415208751,0.977208286870888,-4.51244939067161,1,0,0,0.777137608231719,0.247154045094975
"SUV39H2",1,0,0,-0.00746241951139881,3.04357800912912,-0.0376402211004361,0.970320165150722,0.996954880162873,-4.67479369773179,1,0,0,0.346235096991787,0.160972897413908
"SUV420H1",1,0,0,-0.0856991431961167,2.2466784807133,-0.267404194918456,0.791693993544901,0.977208286870888,-4.66940279471087,1,0,0,0.492699145816489,0.177550728767044
"SUV420H2",1,0,0,0.086778730451206,5.38302027130079,0.386729704409942,0.702739024945204,0.977208286870888,-4.66343701556202,1,0,0,-0.139644629746488,0.588165680346753
"SUZ12",1,0,0,-0.0879924913140115,6.06184962713293,-0.521379045094979,0.607406366321608,0.977208286870888,-4.65417070618139,1,0,0,0.164142304838724,0.463070653944582
"SUZ12P",1,0,0,0.233641038725815,2.65956986227253,0.884694832932967,0.386061141171697,0.977208286870888,-4.61647424157759,1,0,0,0.483986333579761,0.303472285673063
"SV2A",1,0,0,-0.00569315197613296,3.99808561068288,-0.0211373243272657,0.983330108446479,0.998583445767545,-4.67486853347932,1,0,0,0.294043418224108,0.352653184462026
"SV2B",1,0,0,-0.0575744722645957,3.55727844098736,-0.100406802763156,0.920947268645851,0.989582385684421,-4.67412548668372,1,0,0,-0.249884935910439,0.726496233878531
"SV2C",1,0,0,0.760014360261495,-4.10730723827658,0.704646551521947,0.488557102665057,0.977208286870888,-4.63739123433954,1,0,0,0.280407713263815,0.828861055754019
"SVEP1",1,0,0,2.67170413524035,-4.25804162884469,3.22584400536367,0.00395063061238823,0.977208286870888,-4.11958480060152,1,0,0,1.81103932110055,0.0727816278829574
"SVIL",1,0,0,-0.48648835575078,-3.33416840389612,-0.378953201431141,0.708421173842388,0.977208286870888,-4.66389071088127,1,0,0,1.37972314508849,0.330837895956752
"SVIP",1,0,0,-0.139958057694664,6.4834950866416,-0.544836860781706,0.591445824160436,0.977208286870888,-4.65228713824079,1,0,0,0.198773706181374,0.587773158711237
"SVOP",1,0,0,-0.388382016426709,-7.40064833998433,-1.44464664190739,0.162904572241776,0.977208286870888,-4.5270992527785,1,0,0,0.153959225859785,0.616034999357388
"SVOPL",1,0,0,-0.561921998637135,3.55586895230155,-1.69318216783006,0.104791834424642,0.977208286870888,-4.477911629434,1,0,0,-0.193423989454425,0.573231947126361
"SWAP70",1,0,0,-0.695939111146998,-1.03620697062006,-0.69819478634638,0.492502304776653,0.977208286870888,-4.63806101123293,1,0,0,-0.289899903382213,0.778665731238392
"SYAP1",1,0,0,0.164141536811236,5.73730369831436,0.463475252646563,0.647658870726831,0.977208286870888,-4.65848031966551,1,0,0,0.247805476678074,0.542025869304274
"SYBU",1,0,0,0.12625455564572,4.70273765214539,0.801280925535841,0.431693464644174,0.977208286870888,-4.6266915939688,1,0,0,0.233653512473663,0.207955146267895
"SYCE1",1,0,0,0.0953947325573825,-7.25779755446832,0.239442589778173,0.813019298132545,0.977208286870888,-4.67049026033898,1,0,0,0.664005449426322,0.381882047437652
"SYCE1L",1,0,0,-1.87850170416176,-2.11894871513066,-1.5197495482391,0.143073742325045,0.977208286870888,-4.51275212119865,1,0,0,-0.951088356662415,0.463365452821252
"SYCE2",1,0,0,0.00303638486846547,-0.820824247206871,0.00620795460829935,0.995103765468631,0.999255269795809,-4.67490003176833,1,0,0,0.246614725143516,0.549496720212858
"SYCN",1,0,0,0.118912987007966,0.738530916569265,0.370769148569511,0.714419931353636,0.977208286870888,-4.66435847144594,1,0,0,0.610967403606809,0.0676071461080733
"SYCP1",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0,0.118209641013429,0.50700088531388
"SYCP2",1,0,0,-0.177645057080246,1.99399114984711,-0.383575239989588,0.705041814152363,0.977208286870888,-4.66362213589039,1,0,0,-0.065626318668115,0.934397339322237
"SYCP2L",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0,0.947211949523381,0.139517370056617
"SYCP3",1,0,0,2.55219248493769,-1.2878064229788,2.41155713707304,0.0248459445961659,0.977208286870888,-4.31570861397,1,0,0,2.13939649131597,0.168283917951557
"SYDE1",1,0,0,-0.04521839198035,0.293890658005537,-0.112953155267047,0.911110642322211,0.987872395082474,-4.67391914953381,1,0,0,0.678021464298592,0.115888296105036
"SYDE2",1,0,0,-2.04091244156041,-2.27168026257763,-2.64977591206077,0.0147677972697243,0.977208286870888,-4.25845727283656,1,0,0,-0.809890514574179,0.449318197531751
"SYF2",1,0,0,-0.757569476630769,0.159275358100443,-0.632489302263049,0.533704302867894,0.977208286870888,-4.64455754890077,1,0,0,-0.432871452452708,0.71156710047245
"SYK",1,0,0,-0.274336294672437,5.80109132561212,-1.3687920652439,0.185128693878694,0.977208286870888,-4.541089922227,1,0,0,-0.350306663485537,0.243322343132896
"SYMPK",1,0,0,-0.655042707407321,6.86554219562931,-1.58862629317374,0.126672405291991,0.977208286870888,-4.49918830416065,1,0,0,-0.160310190816523,0.71003417358242
"SYN1",1,0,0,0.221322228267722,7.22179664088688,1.31933741119705,0.200868006777395,0.977208286870888,-4.54992547494825,1,0,0,0.249894412123849,0.187338426139481
"SYN2",1,0,0,-0.014015701246432,-0.640374331141578,-0.0324009056941312,0.974449803180706,0.997337970879023,-4.67482200864724,1,0,0,0.126094211584896,0.852870274776816
"SYN3",1,0,0,-0.670357758665439,-3.64155146820136,-0.716136896725112,0.481576219474277,0.977208286870888,-4.63618441703796,1,0,0,1.03261471785071,0.360667421497409
"SYNC",1,0,0,1.05944860434676,-3.75056566159677,1.19040187073942,0.246804209575924,0.977208286870888,-4.57182903553843,1,0,0,1.53740556077831,0.0964513306180408
"SYNCRIP",1,0,0,-0.18131232913627,-5.3624289916344,-0.217160561892796,0.830120823080994,0.977208286870888,-4.67127174867772,1,0,0,1.51889054155217,0.168317293649072
"SYNE1",1,0,0,0.115926961252849,7.18938439806648,0.571269386655536,0.573712212439715,0.977208286870888,-4.65007052081615,1,0,0,0.170337159069048,0.510388348409134
"SYNE2",1,0,0,-0.281509763394487,9.31512325441689,-0.73186827989764,0.472113611224302,0.977208286870888,-4.63450327128364,1,0,0,-0.13067551427768,0.783736043256806
"SYNGAP1",1,0,0,-0.0305222690406008,8.0594685270669,-0.0343797405280738,0.9728899893325,0.997337970879023,-4.67481181356389,1,0,0,0.361610325263184,0.743879962059929
"SYNGR1",1,0,0,0.250702616285554,6.78905552794093,0.826877067584233,0.417345792225605,0.977208286870888,-4.62365136942063,1,0,0,-0.193237961384769,0.528552484713426
"SYNGR2",1,0,0,-0.0185734599724321,3.5680771708336,-0.0379382016077009,0.97008532085349,0.996954880162873,-4.67479196031236,1,0,0,0.25609493022436,0.651949426389243
"SYNGR3",1,0,0,-0.0838099289924799,5.72432170068938,-0.380035345158573,0.707629420316343,0.977208286870888,-4.66382811494483,1,0,0,-0.0838794169438515,0.75945708254124
"SYNGR4",1,0,0,-0.849832213588512,-3.34799274058917,-0.900673548065877,0.377692280194065,0.977208286870888,-4.61441615129566,1,0,0,0.566330231487327,0.589516492008651
"SYNJ1",1,0,0,-0.0579309029894981,-6.21059932354097,-0.0843226164320882,0.933576384568664,0.990974649407382,-4.67435456675031,1,0,0,1.23300320741585,0.15856496015763
"SYNJ2",1,0,0,0.867206373409174,5.30454945411284,1.74996105927878,0.0943159147143306,0.977208286870888,-4.46603664479813,1,0,0,0.546155919562588,0.328865699033996
"SYNJ2BP",1,0,0,0.190203460592358,5.30986904778347,0.78423347079746,0.441417044369426,0.977208286870888,-4.62866905829426,1,0,0,0.409816448589385,0.157477165908796
"SYNM",1,0,0,0.314318721563909,1.6269186138594,0.966855684584532,0.344315139050867,0.977208286870888,-4.60555537652639,1,0,0,0.00417238806679876,0.988813871077638
"SYNPO",1,0,0,0.0564919681560885,-1.04548451046095,0.0802230491989377,0.936798318839938,0.991152096535733,-4.67440658364907,1,0,0,0.172934801392205,0.840678101807765
"SYNPO2",1,0,0,-0.731282079121542,0.907261962240119,-0.645790456314566,0.525215227544954,0.977208286870888,-4.64329046068228,1,0,0,-0.704675649146543,0.580147963099361
"SYNPO2L",1,0,0,0.525175812644953,2.45114091667059,0.52428141923719,0.605420478829552,0.977208286870888,-4.65394193736158,1,0,0,0.995014433230248,0.30600153473626
"SYNPR",1,0,0,-0.0449134720144908,-4.82118000310093,-0.0628514263112851,0.950462661626091,0.994534453759114,-4.67459826566684,1,0,0,0.645087790540612,0.460580117538835
"SYNRG",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0,0.118209641013437,0.36312418464791
