"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"4054","FNDC3B",-3.67111181792307,33111.9854708249,-0.715349484412374,0.477796253761718,0.920154375127216,-4.59720724414605,6,3,58,67,9
"4055","FNDC4",-0.156722294152547,3.78016073972472,-0.0530800650586161,0.95788445605213,1,-4.59940781389575,1,0,8,9,1
"4056","FNDC5",0.84764996055545,25.6409926454555,1.06239325881184,0.293277910119831,0.842979631014627,-4.59459927493831,1,0,11,12,1
"4057","FNDC7",1.02702648946579,19.125675002731,0.984610353054477,0.329664194057693,0.856364915365036,-4.59526617812927,0,0,2,2,0
"4058","FNDC8",-0.630652694811201,68.4154040303056,-0.400071669483978,0.690846775065622,1,-4.59872303722261,0,1,3,4,1
"4059","FNIP1",3.14483024597268,8628.88716796677,1.11605796020901,0.269853820036653,0.831721240268825,-4.59411229883177,3,0,10,13,3
"4060","FNIP2",2.6769824057533,3543.83259573985,1.0237806069118,0.310979000679895,0.849764558250222,-4.594936141734,5,4,30,39,9
"4061","FNTB",-1.84037890634397,1277.86916359772,-0.465525337158798,0.643622837845018,0.989097561280693,-4.59847736954444,1,1,15,17,2
"4062","FOLR2",1.80403965013787,144.24183669805,0.86855985220288,0.389332534446997,0.880277978951015,-4.59617372950993,0,0,6,6,0
"4063","FOLR3",2.4270050877918,1427.811476506,0.23390675897558,0.816034268862385,1,-4.59918132820717,2,0,7,9,2
"4064","FOLR4",-0.273070080489918,0.0848529608630254,-1.12416758834891,0.266432368013954,0.830834273897825,-4.59403682485118,1,0,1,2,1
"4065","FOS",4.71157160762573,145062.783156296,0.939380880585896,0.352154189284236,0.869447876958777,-4.59563246330906,6,1,56,63,7
"4066","FOSB",3.85872465398063,17385.3252938388,0.819169027277315,0.4166661316133,0.892536834206505,-4.59652760827393,1,0,3,4,1
"4067","FOSL1",-1.8815475959479,364.231818249054,-0.532300766003142,0.596929116404226,0.973586240667869,-4.59818917612611,0,0,2,2,0
"4068","FOSL2",-3.25155759296282,11947.6460174192,-0.618164087378669,0.539336949186072,0.943296603126155,-4.5977633433716,4,1,33,38,5
