"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers"
"439","H2AFV",-1258.39955892791,4743.70992006588,-2.39424744092883,0.0205352459641659,0.638155417236238,-4.57699168964286,4,1,23,28
"440","H3F3A",-4018.75437927314,5809.07052266416,-2.80783359460207,0.00714669664434806,0.565705210983799,-4.56973861073221,7,1,12,20
"441","HIST1H1B",-17255.0804016177,20643.4247901091,-2.26784764375118,0.0277938198173342,0.655951005102692,-4.57907866723243,9,1,59,69
"442","HIST1H2AB",-2051.0823135167,2658.29917191801,-2.32700097794389,0.0241522490600749,0.649071172185619,-4.5781104717458,4,0,28,32
"443","HIST1H2AC",-13173.0778518972,37004.0508792939,-2.65287853155351,0.0107336567876748,0.588340332736559,-4.57252482848602,2,0,3,5
"444","HIST1H2AH",-17562.2257930377,28082.7833774265,-2.25638055853555,0.0285537634448465,0.66202665379826,-4.57926457471379,7,0,45,52
"445","HIST1H2AK",-5354.64958661735,13614.0541008622,-2.38168591550063,0.0211714767426336,0.64025493504271,-4.57720210286184,3,0,14,17
"446","HIST1H2AL",-20687.2805984156,27523.1923131485,-2.43637633918531,0.0185250406539077,0.619964755647436,-4.57628134182457,6,0,28,34
"447","HIST1H2AM",-21854.4655743973,31838.4137062059,-2.87658893654524,0.00594203376654737,0.565705210983799,-4.56847943729387,8,0,47,55
"448","HIST1H2BC",-26867.8078310894,54225.6874289681,-2.93611208291876,0.00505436551774657,0.562871046487498,-4.5673789724497,2,0,3,5
"449","HIST1H2BD",-25234.1669415424,80364.947228511,-2.18290524345926,0.0338754546779927,0.670617873206242,-4.58044161647561,4,0,26,30
"450","HIST1H2BI",-9644.80627900041,13997.0315168485,-2.35015253138869,0.0228472736247612,0.643129081681285,-4.57772743416658,8,1,44,53
"451","HIST1H2BL",-16978.9075040273,25426.0272546532,-2.10535869829814,0.0404220738676746,0.670617873206242,-4.58165638495777,5,1,28,34
"452","HIST1H2BN",-13872.4165834647,28837.4221948832,-2.80047638381933,0.007288191588597,0.565705210983799,-4.56987255420735,3,0,14,17
"453","HIST1H2BO",-15722.7174769212,25264.5358937813,-2.37020875507957,0.0217682003238408,0.64025493504271,-4.57739378509676,6,1,44,51
"454","HIST1H3G",-6260.28006989658,6833.68302837325,-2.08754012944667,0.0420741335475717,0.67850732452899,-4.58193138533446,8,1,44,53
"455","HIST1H3I",-4612.40297108721,7793.39161199789,-2.07755253642327,0.0430256591194633,0.680681114376166,-4.58208483868258,7,0,27,34
"456","HIST1H3J",-2279.88521067586,2192.71549547955,-2.48658560854607,0.016362194425876,0.615308093686932,-4.57542560046797,8,0,47,55
"457","HIST1H4G",-1.75709351190523,0.762892415146701,-2.50118344513767,0.0157777532217187,0.615308093686932,-4.5751749844517,5,1,29,35
"458","HIST1H4H",-3478.46393074043,4915.79262156185,-2.97468579031289,0.00454683823280007,0.55764740722507,-4.56666096996856,9,1,48,58
"459","HIST1H4J",-955.585757915597,1063.34943090245,-3.39648598263366,0.00136421023845591,0.46438376626021,-4.55860510787955,6,1,41,48
"460","HIST1H4K",-703.76395278381,966.996148766187,-2.46319341896518,0.0173396981828032,0.615308093686932,-4.57582550200116,9,0,54,63
"461","HIST4H4",-365.416700502781,727.918167980309,-2.51676850220677,0.0151747331278451,0.610637151314548,-4.57490653411004,1,1,7,9
"462","HMGA1",-11642.0397547354,20548.3806510013,-3.38180316227024,0.00142453131905156,0.46438376626021,-4.55889069517328,1,0,1,2
"463","HOXB5",-179.606919592963,182.7299773915,-2.1563983069331,0.0359998292895072,0.670617873206242,-4.58086008976785,1,2,16,19
"464","HSPA13",-405.718785639096,1810.20558970998,-2.17832189489928,0.034234690190087,0.670617873206242,-4.58051421243824,1,0,17,18
