"SYMBOL","logFC","P.Value","adj.P.Val","p.value_activities","HL60","MOLM14"
"ABCF2",0.254833643722716,0.0134170922092174,0.0707359127808857,1,0,0
"ABCF3",0.111820997864999,0.208921186507725,0.47919777793398,1,0,0
"ABCG1",-0.171610057737844,0.128750700050868,0.359393288454154,1,0,0
"ABCG2",0.0626061462950789,0.65124697439091,0.845812204214898,1,0,0
"ABCG4",-0.0753750369697102,0.514211567207683,0.761783863808973,1,0,0
"ABCG5",-0.0435279374542166,0.73419636619033,0.889653918053401,1,0,0
"ABCG8",0.0141179044443991,0.909611334288355,0.967180696410781,1,0,0
"ABHD1",0.0432328948642056,0.653990329717547,0.847555380766293,1,0,0
"ABHD10",1.32822594635063,1.54591156236236e-10,8.32200203204645e-09,1,0,0
"ABHD11",0.202461807942598,0.0280699326416544,0.124474863819997,1,0,0
"ABHD11-AS1",0.0433136515535155,0.730415963118915,0.887927593630028,1,0,0
"ABHD12",-0.0990135498142193,0.282830632224274,0.566175032390448,1,0,0
"ABHD12B",0.186324896913102,0.126621316643078,0.355969753274533,1,0,0
"ABHD13",0.232333674432921,0.00154710120726597,0.0119802029794887,1,0,0
"ABHD14B",-0.404282766150402,0.000391963569944915,0.00369998428340432,1,0,0
"ABHD15",-0.0842666852655478,0.357427315108262,0.638707274791476,1,0,0
"ABHD16A",-0.00387793624751787,0.958403946330564,0.9858361119098,1,0,0
"ABHD16A",-0.0289425301558675,0.699199779713006,0.871641880564183,1,0,0
"ABHD16A",-0.0289425301558675,0.699199779713006,0.871641880564183,1,0,0
"ABHD16A",-0.0289425301558675,0.699199779713006,0.871641880564183,1,0,0
"ABHD16A",-0.0289425301558675,0.699199779713006,0.871641880564183,1,0,0
"ABHD16A",-0.0102061127462871,0.897232049219375,0.962839495409764,1,0,0
"ABHD16A",-0.0405197379483546,0.566702020662669,0.794812483345466,1,0,0
"ABHD16B",-0.0496899994875504,0.595537742661541,0.813299384842053,1,0,0
"ABHD17A",0.0465395849407741,0.698346192323892,0.871570695442067,1,0,0
"ABHD17A",-0.980428288509989,7.43804503299094e-05,0.000879395061816704,1,0,0
"ABHD17A",-0.973890932326549,5.14527509185149e-05,0.000635801370361377,1,0,0
"ABHD17B",0.170931607673359,0.148690879909409,0.39251809264121,1,0,0
"ABHD17C",-0.217517902397249,0.233966155488487,0.508479126063766,1,0,0
"ABHD18",0.0095256911951056,0.912808624397609,0.968804386838881,1,0,0
"ABHD2",0.129352939790779,0.302193311674371,0.58626836458533,1,0,0
"ABHD3",0.187651343500285,0.235059642541773,0.509941042045811,1,0,0
"ABHD4",0.0784622751117343,0.689942496015302,0.867261834314,1,0,0
"ABHD5",0.338601326522341,0.000599884046970311,0.00531021676513243,1,0,0
"ABHD6",0.203855534521677,0.138078920105319,0.375445244684941,1,0,0
"ABHD8",-0.0912720759114531,0.412968484511539,0.687627433294157,1,0,0
"ABI1",-0.578725839085051,1.73675030078383e-06,3.22212252169988e-05,1,0,0
"ABI2",1.00031537597111,6.23347527536399e-09,2.22813495892794e-07,1,0,0
"ABI2",0.244864929465414,0.0718738743743223,0.243887192097211,1,0,0
"ABI3",-0.0459183781014749,0.664981653435353,0.853868485566942,1,0,0
"ABI3BP",0.0384999708478984,0.610598373640477,0.822359832157731,1,0,0
"ABITRAM",0.147512260085541,0.242657924474825,0.519865558901327,1,0,0
"ABL1",0.0265861222143045,0.755852275436637,0.900129521624196,1,0,0
"ABL2",0.236912764591619,0.0509335333436424,0.192141226854716,1,0,0
"ABLIM1",1.39209817134868,4.00499824285827e-12,3.35001545690065e-10,1,0,0
"ABLIM1",0.161422775131787,0.369818336346777,0.65089288034612,1,0,0
"ABLIM2",-0.0878202969836614,0.446558047530522,0.714416333266309,1,0,0
"ABLIM3",0.218676598704286,0.028340897395794,0.125406775247197,1,0,0
"ABO",-0.152061192553062,0.118415799556443,0.341037757147651,1,0,0
"ABO",0.0157595419123453,0.880299165343882,0.956343999851496,1,0,0
"ABR",-1.29942722285956,1.49256201735104e-12,1.41389925237298e-10,1,0,0
"ABRA",0.0549113739058749,0.642001672625286,0.839647860307102,1,0,0
"ABRACL",0.580902759890835,0.000213922034780432,0.0021918805742296,1,0,0
"ABRAXAS1",0.0745106713257542,0.605280646797779,0.818650561912627,1,0,0
"ABRAXAS2",-0.112435973664001,0.343421906211761,0.62623599762725,1,0,0
"ABT1",0.438387404093069,1.98544804012702e-05,0.000274932250949097,1,0,0
"ABTB1",-0.281047256750483,0.0266693805413361,0.119679626421561,1,0,0
"ABTB2",2.057889703497,1.74207786009531e-14,2.56607111606401e-12,1,0,0
"ACAA2",-4.09538987143366,3.19516619263918e-22,2.76314880243121e-19,1,0,0
