"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"UBR4",10,2,63,75,13.3333333333333,12
"AC003104.1",9,1,28,38,23.6842105263158,10
"AC004540.4",9,0,23,32,28.125,9
"AC091633.3",9,1,8,18,50,10
"AE000662.92",9,4,66,79,11.3924050632911,13
"AE000662.93",9,4,66,79,11.3924050632911,13
"AF129408.17",9,0,44,53,16.9811320754717,9
"AKTIP",9,3,54,66,13.6363636363636,12
"AL163636.6",9,0,49,58,15.5172413793103,9
"AL583828.1",9,0,29,38,23.6842105263158,9
"AMN1",9,3,25,37,24.3243243243243,12
"ANG",9,0,49,58,15.5172413793103,9
"AP000662.4",9,0,51,60,15,9
"APOLD1",9,0,56,65,13.8461538461538,9
"BHLHE40",9,2,39,50,18,11
"BHLHE40-AS1",9,2,39,50,18,11
"C11orf31",9,0,39,48,18.75,9
"C6orf62",9,1,66,76,11.8421052631579,10
"CBR4",9,1,53,63,14.2857142857143,10
"CBX5",9,0,12,21,42.8571428571429,9
"CCL24",9,0,66,75,12,9
"CCNH",9,0,29,38,23.6842105263158,9
"CCR7",9,2,17,28,32.1428571428571,11
"CD4",9,2,32,43,20.9302325581395,11
"CEP44",9,5,74,88,10.2272727272727,14
"CETN3",9,4,48,61,14.7540983606557,13
"CLP1",9,0,51,60,15,9
"CREG1",9,2,55,66,13.6363636363636,11
"CTD-2140B24.4",9,4,62,75,12,13
"ETS2",9,0,62,71,12.6760563380282,9
"EXTL2",9,2,42,53,16.9811320754717,11
"FAM43A",9,1,49,59,15.2542372881356,10
"FBXO8",9,5,74,88,10.2272727272727,14
"FLI1",9,1,67,77,11.6883116883117,10
"FOXN3",9,2,59,70,12.8571428571429,11
"GFOD1",9,0,30,39,23.0769230769231,9
"GFOD1-AS1",9,0,29,38,23.6842105263158,9
"GMNN",9,1,58,68,13.2352941176471,10
"GNB5",9,5,61,75,12,14
"GSDMA",9,0,13,22,40.9090909090909,9
"HAT1",9,0,15,24,37.5,9
"HAVCR2",9,3,42,54,16.6666666666667,12
"HIST1H2BE",9,1,52,62,14.5161290322581,10
"HMGCS2",9,0,38,47,19.1489361702128,9
"HMGXB3",9,0,20,29,31.0344827586207,9
"HNRNPA1",9,0,12,21,42.8571428571429,9
"HOXB-AS3",9,3,41,53,16.9811320754717,12
"HOXB3",9,3,44,56,16.0714285714286,12
"HOXB8",9,3,40,52,17.3076923076923,12
"IFT74",9,4,75,88,10.2272727272727,13
"ISG20L2",9,2,46,57,15.7894736842105,11
"ITGA10",9,1,32,42,21.4285714285714,10
"KMT2E",9,3,44,56,16.0714285714286,12
"KMT2E-AS1",9,3,44,56,16.0714285714286,12
"LARP1P1",9,1,52,62,14.5161290322581,10
"LINC01004",9,3,44,56,16.0714285714286,12
"LINC01011",9,4,44,57,15.7894736842105,13
"LINC01124",9,1,14,24,37.5,10
"LRIG1",9,0,50,59,15.2542372881356,9
"MED7",9,4,44,57,15.7894736842105,13
"METTL1",9,0,26,35,25.7142857142857,9
"METTL21B",9,0,26,35,25.7142857142857,9
"MIR153",9,0,55,64,14.0625,9
"MIR196A2",9,0,21,30,30,9
"MNX1",9,1,17,27,33.3333333333333,10
"MNX1-AS1",9,1,17,27,33.3333333333333,10
"MNX1-AS2",9,1,17,27,33.3333333333333,10
"MRPL13",9,1,39,49,18.3673469387755,10
"MRPL50",9,3,50,62,14.5161290322581,12
"MTBP",9,1,39,49,18.3673469387755,10
"NIFK",9,0,54,63,14.2857142857143,9
"NOA1",9,0,54,63,14.2857142857143,9
"NQO2",9,4,44,57,15.7894736842105,13
"OSR1",9,2,30,41,21.9512195121951,11
"PGRMC2",9,2,71,82,10.9756097560976,11
"POLR2B",9,0,56,65,13.8461538461538,9
"POU4F1",9,2,10,21,42.8571428571429,11
"PSMG1",9,0,44,53,16.9811320754717,9
"RN7SKP107",9,1,47,57,15.7894736842105,10
"RNASE4",9,0,49,58,15.5172413793103,9
"RNU6-1280P",9,3,74,86,10.4651162790698,12
"RNU6-70P",9,1,24,34,26.4705882352941,10
"RNU7-134P",9,0,29,38,23.6842105263158,9
"RNU7-14P",9,2,67,78,11.5384615384615,11
"RNY4P17",9,1,53,63,14.2857142857143,10
"RP1-170O19.14",9,3,40,52,17.3076923076923,12
"RP11-180M15.4",9,0,56,65,13.8461538461538,9
"RP11-337A23.3",9,4,73,86,10.4651162790698,13
"RP11-404F10.2",9,0,63,72,12.5,9
"RP11-47I22.1",9,1,85,95,9.47368421052632,10
"RP11-483A20.3",9,1,53,63,14.2857142857143,10
"RP11-571M6.15",9,0,26,35,25.7142857142857,9
"RP11-944C7.1",9,1,61,71,12.6760563380282,10
"RP11-968A15.8",9,0,12,21,42.8571428571429,9
"RP5-1115A15.1",9,1,37,47,19.1489361702128,10
"RPL24",9,2,28,39,23.0769230769231,11
"RRNAD1",9,2,46,57,15.7894736842105,11
"RSAD2",9,1,45,55,16.3636363636364,10
"RWDD2B",9,3,68,80,11.25,12
"SCAF8",9,5,55,69,13.0434782608696,14
"SENCR",9,1,66,76,11.8421052631579,10
"SLC26A2",9,0,17,26,34.6153846153846,9
"SLC30A7",9,2,42,53,16.9811320754717,11
"SLC38A6",9,2,27,38,23.6842105263158,11
